Chromosome	Genomic_position1	Genomic_position2	G1	Early_S	Late_S_G2	M_stage
chr11	19000000	19000000	0.027589331567287444	-0.030669502541422845	0.008200022391974926	-0.0051198548171669245
chr9	16500000	16500000	0.029665399342775345	-0.027544244565069674	0.0077972691506147385	-0.009918427281081676
chr9	19500000	19500000	0.04234669506549835	-0.030918197706341743	0.004568822333021671	-0.015997324883937836
chr9	25500000	25500000	0.011403419449925423	-0.012194696627557278	0.003012748993933201	-0.0022214694647118447
chr9	24500000	24500000	0.00906061390414834	-0.010101210884749889	0.002189300302416086	-0.0011487020063214004
chr11	23000000	23000000	0.012943312339484692	-0.008410718524828553	0.0025842207396635786	-0.007116814516484738
chr9	19000000	19000000	0.010974681517109276	-0.010001739859580994	0.001512782706413418	-0.002485726645682007
chr9	24000000	24000000	0.008170210919342936	-0.007685715681873262	0.0008023397473152727	-0.0012868355261161923
chr11	25500000	25500000	0.014851702377200127	-0.010548184625804424	0.00038994312926661224	-0.0046934613958001135
chr9	14500000	14500000	0.008207335881888867	-0.0029773431830108165	-0.0011672641267068684	-0.004062729864381253
chr11	17500000	17500000	0.008231782168149949	-0.003964416310191154	-0.0011258501224801875	-0.003141515573952347
chr11	19500000	19500000	0.008834263775497675	-0.0010648702473190497	-0.0012434773263521493	-0.006525916326791048
chr9	21000000	21000000	0.021833345387130977	-0.009502270771190525	-0.004149405937641859	-0.008181671611964703
chr11	20000000	20000000	0.0073925087228417395	0.01268549244850874	-0.012748328782618047	-0.007329671178013086
chr11	13500000	13500000	0.007912133913487196	-0.008255481533706189	0.002717357221990824	-0.0023740090196952223
chr11	15000000	15000000	0.0056611871346831325	-0.006178727839142084	0.0022028781939297916	-0.0016853374894708396
chr9	23000000	23000000	0.0070925507927313445	-0.006334197940304875	0.00045858475859859025	-0.001216937496792525
chr11	22000000	22000000	0.005671199364587665	-0.0008551265578716994	-0.0025534347747452556	-0.0022626372170634567
chr9	15000000	17500000	0.004561888985335827	-0.0035024558193981646	0.00023683940526098013	-0.0012962735490873456
chr9	15000000	16500000	0.004463190073147416	-0.0025709145469591022	-0.00029476128474925645	-0.0015975138754583894
chr9	18000000	18000000	0.0031433445755283175	-0.006092993658967316	0.0021837327120010743	0.0007659170660190284
chr11	14000000	14000000	0.003242370625957847	-0.0034649974666535856	0.0012454204261302948	-0.0010227928636595608
chr9	25000000	25000000	0.003392295679077506	-0.0009606222389265895	-0.0005436827661469579	-0.0018879909766837955
chr9	19500000	20500000	0.003239064197987318	-0.0018024295452050865	-0.0004420483310241252	-0.0009945857993443497
chr9	20500000	19500000	0.00328181826043874	-0.0013517281564418226	-0.0002976329342345707	-0.0016324572847224773
chr9	21500000	21500000	0.0028247323352843523	0.0024885001126676797	-0.004919965169392526	-0.00039326859114225955
chr11	24000000	24000000	0.0020437991945073007	0.0004970282898284495	-0.0014819994007666537	-0.0010588282195385546
chr9	18500000	18500000	0.00253420386579819	-0.006989079620689153	0.006141487066634	-0.0016866135876625777
chr11	16000000	15500000	0.002064383469405584	-0.00562867340631783	0.0046515392139554025	-0.001087249966803938
chr11	17000000	18500000	0.002021576650440693	-0.0033074062783271076	0.0013310047099366785	-4.517540728556924e-05
chr11	21000000	19000000	0.002146375086158514	-0.0020566184539347887	0.0011846404945316635	-0.0012743965606205165
chr11	16500000	16500000	0.0021424461621791123	-0.0047815039404667916	0.0007334103167522699	0.0019056494464166462
chr11	14500000	14500000	0.0022921609925106168	-0.0033572605345398186	0.0009868761873804033	7.822359912097454e-05
chr9	15000000	18000000	0.0027402779553085564	-0.002896859054453671	0.0007684445066843182	-0.0006118628778494894
chr9	18000000	15500000	0.002046219143085182	-0.00206279659178108	0.000629332012613304	-0.000612754700705409
chr9	21000000	19000000	0.0020901814568787813	-0.001729436870664358	0.0005200308805797249	-0.0008807750069536269
chr9	17500000	15000000	0.002608512667939067	-0.002397242048755288	0.0008250261947978288	-0.0010362967615947128
chr11	23500000	22000000	0.002181692054728046	-0.0008483490193611943	0.00031491765985265375	-0.0016482602804899216
chr9	14500000	17500000	0.002411786327138543	-0.001914476847741753	0.00047269189090002326	-0.0009700013441033661
chr11	21500000	20000000	0.0025152579648420213	-0.0015954938833601772	0.00033508523119962774	-0.0012548494851216674
chr9	16000000	16000000	0.0024830098962411286	-0.0025490881904261186	-8.600024157203733e-05	0.00015207848919089882
chr11	24500000	23000000	0.0020486502908170223	-0.0009091032319702208	7.4055715231224895e-06	-0.001146952377166599
chr9	21000000	20000000	0.002633860125206411	-0.0006137593882158399	-0.00038768269632782903	-0.001632418658118695
chr9	22500000	22500000	0.0026380206138128413	-6.338359089568258e-05	-0.00029839316266588867	-0.002276244905078784
chr9	15000000	17000000	0.002259757649153471	-0.0017717814887873828	6.1022271984256805e-05	-0.0005489981442224235
chr11	21000000	20000000	0.0020894593792036174	-0.0011059450451284647	-9.75262068095617e-05	-0.0008859880035743117
chr11	27500000	27500000	0.0029641131011885593	-0.001120804634410888	-7.329024738282897e-05	-0.001770017905801069
chr11	15500000	15500000	0.0017753500374965369	0.005023349123075604	-0.004037822503596545	-0.002760877180844545
chr11	20000000	19500000	0.0010379815415944905	0.002196138619910926	-0.002332392241805792	-0.0009017287869937718
chr11	16000000	17500000	0.0011186804389581085	0.00010140383383259178	0.00010215185247943736	-0.0013222360284999013
chr9	22500000	21500000	0.0012710251030512154	0.0001846690138336271	-0.0007492007222026587	-0.0007064931065542624
chr11	24000000	22500000	0.001062856160569936	0.00029700158629566433	-0.0001640847811358981	-0.0011957730981521308
